"","Date","Time_Type","Hour","Central Western","Eastern","Kwun Tong","Sham Shui Po","Kwai Chung","Tsuen Wan","Tseung Kwan O","Yuen Long","Tuen Mun","Tung Chung","Tai Po","Sha Tin","Tap Mun","Causeway Bay","Central","Mong Kok"
"1","2019-10-01","Hourly",1,4,4,4,3,2,2,3,2,3,2,2,2,2,4,4,4
"2","2019-10-01","Hourly",2,4,3,4,3,2,2,3,2,3,2,2,2,2,3,3,4
"3","2019-10-01","Hourly",3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3
"4","2019-10-01","Hourly",4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3
"5","2019-10-01","Hourly",5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"6","2019-10-01","Hourly",6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"7","2019-10-01","Hourly",7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"8","2019-10-01","Hourly",8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"9","2019-10-01","Hourly",9,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
"10","2019-10-01","Hourly",10,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
"11","2019-10-01","Hourly",11,3,3,3,3,2,3,3,3,3,2,3,2,3,4,3,3
"12","2019-10-01","Hourly",12,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4,3
"13","2019-10-01","Hourly",13,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
"14","2019-10-01","Hourly",14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"15","2019-10-01","Hourly",15,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
"16","2019-10-01","Hourly",16,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
"17","2019-10-01","Hourly",17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"18","2019-10-01","Hourly",18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"19","2019-10-01","Hourly",19,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,4
"20","2019-10-01","Hourly",20,4,4,4,3,2,3,4,4,4,2,4,3,3,3,3,3
"21","2019-10-01","Hourly",21,3,3,3,3,2,2,3,3,3,2,3,2,4,3,3,2
"22","2019-10-01","Hourly",22,3,3,3,2,2,2,2,2,3,2,2,2,3,2,2,2
"23","2019-10-01","Hourly",23,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2
"24","2019-10-01","Hourly",24,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"25","2019-10-01","Daily Max",NA,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
"26","2019-10-01","Daily Mean",NA,3,3,3,3,2,2,2,2,3,2,2,2,3,3,2,3
"27","2019-10-02","Hourly",1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"28","2019-10-02","Hourly",2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"29","2019-10-02","Hourly",3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"30","2019-10-02","Hourly",4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"31","2019-10-02","Hourly",5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"32","2019-10-02","Hourly",6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"33","2019-10-02","Hourly",7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"34","2019-10-02","Hourly",8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"35","2019-10-02","Hourly",9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"36","2019-10-02","Hourly",10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37","2019-10-02","Hourly",11,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
"38","2019-10-02","Hourly",12,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2
"39","2019-10-02","Hourly",13,2,2,3,2,2,2,3,3,2,2,3,2,2,2,2,2
"40","2019-10-02","Hourly",14,2,2,3,2,2,2,3,3,2,3,4,3,3,3,2,3
"41","2019-10-02","Hourly",15,2,2,3,2,2,3,3,3,3,3,4,3,4,3,3,3
"42","2019-10-02","Hourly",16,2,2,3,2,2,2,3,3,2,2,4,3,4,3,2,4
"43","2019-10-02","Hourly",17,2,2,3,2,2,2,3,2,2,2,4,3,3,3,2,4
"44","2019-10-02","Hourly",18,2,2,3,2,2,2,2,2,2,2,3,2,3,3,2,3
"45","2019-10-02","Hourly",19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"46","2019-10-02","Hourly",20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"47","2019-10-02","Hourly",21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"48","2019-10-02","Hourly",22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"49","2019-10-02","Hourly",23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"50","2019-10-02","Hourly",24,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"51","2019-10-02","Daily Max",NA,3,3,3,2,2,3,3,3,3,3,4,3,4,3,3,4
"52","2019-10-02","Daily Mean",NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"53","2019-10-03","Hourly",1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"54","2019-10-03","Hourly",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"55","2019-10-03","Hourly",3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2
"56","2019-10-03","Hourly",4,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2
"57","2019-10-03","Hourly",5,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2
"58","2019-10-03","Hourly",6,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2
"59","2019-10-03","Hourly",7,2,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2
"60","2019-10-03","Hourly",8,2,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2
"61","2019-10-03","Hourly",9,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2
"62","2019-10-03","Hourly",10,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"63","2019-10-03","Hourly",11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"64","2019-10-03","Hourly",12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"65","2019-10-03","Hourly",13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"66","2019-10-03","Hourly",14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"67","2019-10-03","Hourly",15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"68","2019-10-03","Hourly",16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"69","2019-10-03","Hourly",17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"70","2019-10-03","Hourly",18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"71","2019-10-03","Hourly",19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"72","2019-10-03","Hourly",20,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"73","2019-10-03","Hourly",21,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"74","2019-10-03","Hourly",22,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
"75","2019-10-03","Hourly",23,2,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2
"76","2019-10-03","Hourly",24,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2
"77","2019-10-03","Daily Max",NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"78","2019-10-03","Daily Mean",NA,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2
"79","2019-10-04","Hourly",1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2
"80","2019-10-04","Hourly",2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1
"81","2019-10-04","Hourly",3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"82","2019-10-04","Hourly",4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"83","2019-10-04","Hourly",5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84","2019-10-04","Hourly",6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"85","2019-10-04","Hourly",7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"86","2019-10-04","Hourly",8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"87","2019-10-04","Hourly",9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
"88","2019-10-04","Hourly",10,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
"89","2019-10-04","Hourly",11,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2
"90","2019-10-04","Hourly",12,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2
"91","2019-10-04","Hourly",13,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2
"92","2019-10-04","Hourly",14,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
"93","2019-10-04","Hourly",15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"94","2019-10-04","Hourly",16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"95","2019-10-04","Hourly",17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"96","2019-10-04","Hourly",18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"97","2019-10-04","Hourly",19,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"98","2019-10-04","Hourly",20,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2
"99","2019-10-04","Hourly",21,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,2
"100","2019-10-04","Hourly",22,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"101","2019-10-04","Hourly",23,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"102","2019-10-04","Hourly",24,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"103","2019-10-04","Daily Max",NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"104","2019-10-04","Daily Mean",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"105","2019-10-05","Hourly",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"106","2019-10-05","Hourly",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"107","2019-10-05","Hourly",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"108","2019-10-05","Hourly",4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"109","2019-10-05","Hourly",5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
