"","Date","Time_Type","Hour","Station","AQHI","AQHI_Level"
"1","2019-10-01","Hourly",13,"Kwai Chung",8,4
"2","2019-10-01","Hourly",13,"Tsuen Wan",8,4
"3","2019-10-01","Hourly",13,"Yuen Long",9,4
"4","2019-10-01","Hourly",14,"Eastern",9,4
"5","2019-10-01","Hourly",14,"Kwun Tong",9,4
"6","2019-10-01","Hourly",14,"Kwai Chung",8,4
"7","2019-10-01","Hourly",14,"Tsuen Wan",8,4
"8","2019-10-01","Hourly",14,"Tseung Kwan O",9,4
"9","2019-10-01","Hourly",14,"Yuen Long",9,4
"10","2019-10-01","Hourly",14,"Tung Chung",8,4
"11","2019-10-01","Hourly",14,"Tai Po",9,4
"12","2019-10-01","Hourly",14,"Sha Tin",9,4
"13","2019-10-01","Hourly",15,"Central Western",9,4
"14","2019-10-01","Hourly",15,"Eastern",9,4
"15","2019-10-01","Hourly",15,"Kwun Tong",9,4
"16","2019-10-01","Hourly",15,"Kwai Chung",8,4
"17","2019-10-01","Hourly",15,"Tsuen Wan",8,4
"18","2019-10-01","Hourly",15,"Tseung Kwan O",9,4
"19","2019-10-01","Hourly",15,"Tuen Mun",9,4
"20","2019-10-01","Hourly",15,"Tung Chung",8,4
"21","2019-10-01","Hourly",15,"Tai Po",9,4
"22","2019-10-01","Hourly",15,"Sha Tin",9,4
"23","2019-10-01","Hourly",15,"Tap Mun",11,5
"24","2019-10-01","Hourly",15,"Central",9,4
"25","2019-10-01","Hourly",15,"Mong Kok",9,4
"26","2019-10-01","Hourly",16,"Central Western",9,4
"27","2019-10-01","Hourly",16,"Eastern",9,4
"28","2019-10-01","Hourly",16,"Kwun Tong",9,4
"29","2019-10-01","Hourly",16,"Sham Shui Po",10,4
"30","2019-10-01","Hourly",16,"Kwai Chung",8,4
"31","2019-10-01","Hourly",16,"Tsuen Wan",8,4
"32","2019-10-01","Hourly",16,"Tseung Kwan O",9,4
"33","2019-10-01","Hourly",16,"Tuen Mun",9,4
"34","2019-10-01","Hourly",16,"Tung Chung",8,4
"35","2019-10-01","Hourly",16,"Sha Tin",9,4
"36","2019-10-01","Hourly",16,"Tap Mun",11,5
"37","2019-10-01","Hourly",16,"Central",9,4
"38","2019-10-01","Hourly",16,"Mong Kok",9,4
"39","2019-10-01","Hourly",17,"Central Western",9,4
"40","2019-10-01","Hourly",17,"Eastern",9,4
"41","2019-10-01","Hourly",17,"Kwun Tong",9,4
"42","2019-10-01","Hourly",17,"Sham Shui Po",10,4
"43","2019-10-01","Hourly",17,"Kwai Chung",8,4
"44","2019-10-01","Hourly",17,"Tsuen Wan",8,4
"45","2019-10-01","Hourly",17,"Tseung Kwan O",9,4
"46","2019-10-01","Hourly",17,"Tuen Mun",9,4
"47","2019-10-01","Hourly",17,"Tung Chung",8,4
"48","2019-10-01","Hourly",17,"Sha Tin",9,4
"49","2019-10-01","Hourly",17,"Central",9,4
"50","2019-10-01","Hourly",17,"Mong Kok",9,4
"51","2019-10-01","Hourly",18,"Central Western",9,4
"52","2019-10-01","Hourly",18,"Eastern",9,4
"53","2019-10-01","Hourly",18,"Kwun Tong",9,4
"54","2019-10-01","Hourly",18,"Kwai Chung",8,4
"55","2019-10-01","Hourly",18,"Tsuen Wan",8,4
"56","2019-10-01","Hourly",18,"Tseung Kwan O",9,4
"57","2019-10-01","Hourly",18,"Tuen Mun",9,4
"58","2019-10-01","Hourly",18,"Tung Chung",8,4
"59","2019-10-01","Hourly",18,"Sha Tin",9,4
"60","2019-10-01","Hourly",18,"Causeway Bay",9,4
"61","2019-10-01","Hourly",18,"Central",9,4
"62","2019-10-01","Hourly",18,"Mong Kok",9,4
"63","2019-10-01","Hourly",19,"Kwun Tong",9,4
"64","2019-10-01","Hourly",19,"Tsuen Wan",8,4
"65","2019-10-01","Hourly",19,"Tseung Kwan O",9,4
"66","2019-10-01","Hourly",19,"Tuen Mun",9,4
"67","2019-10-02","Hourly",1,"Central Western",7,3
"68","2019-10-02","Hourly",1,"Eastern",7,3
"69","2019-10-02","Hourly",1,"Sham Shui Po",6,2
"70","2019-10-02","Hourly",2,"Eastern",7,3
"71","2019-10-02","Hourly",2,"Sham Shui Po",6,2
"72","2019-10-02","Hourly",3,"Sham Shui Po",6,2
"73","2019-10-02","Hourly",11,"Kwun Tong",7,3
"74","2019-10-02","Hourly",11,"Sham Shui Po",6,2
"75","2019-10-02","Hourly",12,"Kwun Tong",7,3
"76","2019-10-02","Hourly",12,"Sham Shui Po",6,2
"77","2019-10-02","Hourly",12,"Kwai Chung",6,2
"78","2019-10-02","Hourly",13,"Kwun Tong",7,3
"79","2019-10-02","Hourly",13,"Sham Shui Po",6,2
"80","2019-10-02","Hourly",13,"Kwai Chung",6,2
"81","2019-10-02","Hourly",13,"Tseung Kwan O",7,3
"82","2019-10-02","Hourly",13,"Yuen Long",7,3
